benchmark=x-str-rep,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/x-str-rep/16769/sink.smt2,1,0.033474
benchmark/laut/x-str-rep/26239/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/16778/sink.smt2,1,7.883844
benchmark/laut/x-str-rep/3072/sink.smt2,0,0.033586
benchmark/laut/x-str-rep/31731/sink.smt2,1,0.115634
benchmark/laut/x-str-rep/19915/sink.smt2,1,0.115718
benchmark/laut/x-str-rep/14049/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/14064/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/29552/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17756/sink.smt2,1,0.968029
benchmark/laut/x-str-rep/18061/sink.smt2,1,0.165753
benchmark/laut/x-str-rep/20472/sink.smt2,1,0.266131
benchmark/laut/x-str-rep/19671/sink.smt2,t,0.0
benchmark/laut/x-str-rep/15965/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/21244/sink.smt2,1,0.415660
benchmark/laut/x-str-rep/17621/sink.smt2,1,1.669104
benchmark/laut/x-str-rep/18057/sink.smt2,1,0.165571
benchmark/laut/x-str-rep/2176/sink.smt2,1,0.065264
benchmark/laut/x-str-rep/32738/sink.smt2,1,0.115382
benchmark/laut/x-str-rep/26201/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/19875/sink.smt2,1,0.114951
benchmark/laut/x-str-rep/24834/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18209/sink.smt2,1,0.165215
benchmark/laut/x-str-rep/19398/sink.smt2,t,0.0
benchmark/laut/x-str-rep/20635/sink.smt2,1,0.215855
benchmark/laut/x-str-rep/6350/sink.smt2,1,4.227137
benchmark/laut/x-str-rep/24717/sink.smt2,x,0.000000
benchmark/laut/x-str-rep/18998/sink.smt2,t,0.0
benchmark/laut/x-str-rep/19439/sink.smt2,1,6.380817
benchmark/laut/x-str-rep/22277/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22422/sink.smt2,1,13.800820
benchmark/laut/x-str-rep/23671/sink.smt2,1,0.065970
benchmark/laut/x-str-rep/22002/sink.smt2,1,13.299419
benchmark/laut/x-str-rep/22025/sink.smt2,t,0.0
benchmark/laut/x-str-rep/22092/sink.smt2,t,0.0
benchmark/laut/x-str-rep/17525/sink.smt2,1,0.266068
