benchmark=kaluza,solver=trau,TO=20.000000
path,sat,time
benchmark/laut/kaluza/1040/sink.s3,0,0.034718
benchmark/laut/kaluza/112/sink.s3,1,0.070705
benchmark/laut/kaluza/963/sink.s3,1,0.065968
benchmark/laut/kaluza/600/sink.s3,0,0.034860
benchmark/laut/kaluza/1683/sink.s3,1,0.318614
benchmark/laut/kaluza/939/sink.s3,1,0.066749
benchmark/laut/kaluza/1642/sink.s3,0,0.020411
benchmark/laut/kaluza/838/sink.s3,0,0.017718
benchmark/laut/kaluza/832/sink.s3,0,0.035410
benchmark/laut/kaluza/490/sink.s3,0,0.066686
benchmark/laut/kaluza/223/sink.s3,0,0.071531
benchmark/laut/kaluza/681/sink.s3,1,0.069674
benchmark/laut/kaluza/1935/sink.s3,1,0.068899
benchmark/laut/kaluza/415/sink.s3,1,0.117958
benchmark/laut/kaluza/477/sink.s3,1,0.067476
benchmark/laut/kaluza/764/sink.s3,1,0.071829
benchmark/laut/kaluza/1897/sink.s3,0,0.035315
benchmark/laut/kaluza/622/sink.s3,0,0.018924
benchmark/laut/kaluza/233/sink.s3,1,0.328347
benchmark/laut/kaluza/1018/sink.s3,1,0.066682
benchmark/laut/kaluza/418/sink.s3,1,0.065996
benchmark/laut/kaluza/1349/sink.s3,1,0.067655
benchmark/laut/kaluza/657/sink.s3,1,0.038432
benchmark/laut/kaluza/244/sink.s3,0,0.017837
benchmark/laut/kaluza/1972/sink.s3,0,0.035172
benchmark/laut/kaluza/1637/sink.s3,0,0.035531
benchmark/laut/kaluza/847/sink.s3,1,0.067511
benchmark/laut/kaluza/1234/sink.s3,1,0.068502
benchmark/laut/kaluza/60/sink.s3,1,0.084370
benchmark/laut/kaluza/1461/sink.s3,1,0.066411
benchmark/laut/kaluza/795/sink.s3,1,0.119483
benchmark/laut/kaluza/1690/sink.s3,1,0.120282
benchmark/laut/kaluza/1049/sink.s3,0,0.071972
benchmark/laut/kaluza/131/sink.s3,0,0.037850
benchmark/laut/kaluza/26/sink.s3,0,0.035965
benchmark/laut/kaluza/37/sink.s3,1,0.068388
benchmark/laut/kaluza/1121/sink.s3,0,0.068750
benchmark/laut/kaluza/1366/sink.s3,0,0.042600
benchmark/laut/kaluza/1986/sink.s3,1,0.067948
benchmark/laut/kaluza/271/sink.s3,1,0.122993
benchmark/laut/kaluza/1528/sink.s3,1,0.067854
benchmark/laut/kaluza/1516/sink.s3,1,0.071178
benchmark/laut/kaluza/777/sink.s3,0,0.019190
benchmark/laut/kaluza/267/sink.s3,1,0.071561
benchmark/laut/kaluza/1308/sink.s3,0,0.019086
benchmark/laut/kaluza/137/sink.s3,1,0.068490
benchmark/laut/kaluza/548/sink.s3,0,0.033291
benchmark/laut/kaluza/1408/sink.s3,0,0.034350
benchmark/laut/kaluza/1300/sink.s3,1,0.067060
benchmark/laut/kaluza/586/sink.s3,0,0.017385
benchmark/laut/kaluza/523/sink.s3,1,0.067085
benchmark/laut/kaluza/1232/sink.s3,0,0.068901
benchmark/laut/kaluza/1926/sink.s3,0,0.037511
benchmark/laut/kaluza/962/sink.s3,1,0.067953
benchmark/laut/kaluza/1859/sink.s3,1,0.066576
benchmark/laut/kaluza/974/sink.s3,0,0.068665
benchmark/laut/kaluza/1464/sink.s3,0,0.034124
benchmark/laut/kaluza/922/sink.s3,0,0.033298
benchmark/laut/kaluza/1167/sink.s3,1,0.070328
benchmark/laut/kaluza/1476/sink.s3,1,0.066139
benchmark/laut/kaluza/419/sink.s3,1,0.065378
benchmark/laut/kaluza/1643/sink.s3,0,0.034100
benchmark/laut/kaluza/1469/sink.s3,0,0.019299
benchmark/laut/kaluza/5/sink.s3,0,0.035548
benchmark/laut/kaluza/351/sink.s3,0,0.035193
benchmark/laut/kaluza/462/sink.s3,1,0.070218
benchmark/laut/kaluza/349/sink.s3,1,0.032473
benchmark/laut/kaluza/540/sink.s3,1,0.067163
benchmark/laut/kaluza/123/sink.s3,1,0.069222
benchmark/laut/kaluza/636/sink.s3,0,0.035408
benchmark/laut/kaluza/1557/sink.s3,0,0.039025
benchmark/laut/kaluza/4/sink.s3,1,0.068863
benchmark/laut/kaluza/744/sink.s3,0,0.067526
benchmark/laut/kaluza/132/sink.s3,1,0.072357
benchmark/laut/kaluza/914/sink.s3,0,0.068866
benchmark/laut/kaluza/380/sink.s3,1,0.069725
