benchmark=kaluza,solver=ic3ia,TO=20.000000
path,sat,time,step
benchmark/laut/kaluza/490/sink.vmt,0,0.035756,1
benchmark/laut/kaluza/223/sink.vmt,0,0.035722,1
benchmark/laut/kaluza/681/sink.vmt,1,0.319395,11
benchmark/laut/kaluza/1935/sink.vmt,1,0.368259,11
benchmark/laut/kaluza/415/sink.vmt,1,0.522653,6
benchmark/laut/kaluza/477/sink.vmt,1,0.066235,9
benchmark/laut/kaluza/764/sink.vmt,1,0.115809,11
benchmark/laut/kaluza/1897/sink.vmt,0,0.032774,1
benchmark/laut/kaluza/622/sink.vmt,0,0.019157,1
benchmark/laut/kaluza/233/sink.vmt,1,0.771072,49
benchmark/laut/kaluza/1018/sink.vmt,1,0.033048,1
benchmark/laut/kaluza/418/sink.vmt,1,0.035929,1
benchmark/laut/kaluza/1349/sink.vmt,1,0.319073,20
benchmark/laut/kaluza/657/sink.vmt,1,0.033846,1
benchmark/laut/kaluza/244/sink.vmt,0,0.033137,1
benchmark/laut/kaluza/1972/sink.vmt,0,0.035523,1
benchmark/laut/kaluza/1637/sink.vmt,0,0.017113,1
benchmark/laut/kaluza/847/sink.vmt,1,0.033349,1
benchmark/laut/kaluza/1234/sink.vmt,1,0.037676,1
benchmark/laut/kaluza/60/sink.vmt,1,0.034634,0
benchmark/laut/kaluza/1461/sink.vmt,1,0.115929,11
benchmark/laut/kaluza/795/sink.vmt,1,0.519535,6
benchmark/laut/kaluza/1690/sink.vmt,1,0.320084,20
benchmark/laut/kaluza/1049/sink.vmt,0,0.318399,16
benchmark/laut/kaluza/131/sink.vmt,0,0.032592,1
benchmark/laut/kaluza/26/sink.vmt,0,0.018549,1
benchmark/laut/kaluza/37/sink.vmt,1,0.037679,4
benchmark/laut/kaluza/1121/sink.vmt,0,0.040774,1
benchmark/laut/kaluza/1366/sink.vmt,0,0.317141,16
benchmark/laut/kaluza/1986/sink.vmt,1,0.371479,11
benchmark/laut/kaluza/271/sink.vmt,1,0.520019,6
benchmark/laut/kaluza/1528/sink.vmt,1,0.267297,19
benchmark/laut/kaluza/1516/sink.vmt,1,0.036234,1
benchmark/laut/kaluza/777/sink.vmt,0,0.018075,1
benchmark/laut/kaluza/267/sink.vmt,1,0.019289,0
benchmark/laut/kaluza/1308/sink.vmt,0,0.017808,1
benchmark/laut/kaluza/137/sink.vmt,1,0.032824,1
benchmark/laut/kaluza/548/sink.vmt,0,0.034602,1
benchmark/laut/kaluza/1408/sink.vmt,0,0.018562,1
benchmark/laut/kaluza/1300/sink.vmt,1,0.214965,19
benchmark/laut/kaluza/586/sink.vmt,0,0.065279,1
benchmark/laut/kaluza/523/sink.vmt,1,0.034466,1
benchmark/laut/kaluza/1232/sink.vmt,0,0.021324,1
benchmark/laut/kaluza/1926/sink.vmt,0,0.018642,1
benchmark/laut/kaluza/962/sink.vmt,1,0.269497,20
benchmark/laut/kaluza/1859/sink.vmt,1,0.274321,19
benchmark/laut/kaluza/974/sink.vmt,0,0.034209,1
benchmark/laut/kaluza/1464/sink.vmt,0,0.017447,1
benchmark/laut/kaluza/922/sink.vmt,0,0.033390,1
benchmark/laut/kaluza/1167/sink.vmt,1,0.318584,21
benchmark/laut/kaluza/1476/sink.vmt,1,0.033102,1
benchmark/laut/kaluza/419/sink.vmt,1,0.271201,21
benchmark/laut/kaluza/1643/sink.vmt,0,0.017188,1
benchmark/laut/kaluza/1469/sink.vmt,0,0.018593,1
benchmark/laut/kaluza/5/sink.vmt,0,0.022478,1
benchmark/laut/kaluza/351/sink.vmt,0,0.372249,19
benchmark/laut/kaluza/462/sink.vmt,1,0.318127,20
benchmark/laut/kaluza/349/sink.vmt,1,0.034293,1
benchmark/laut/kaluza/540/sink.vmt,1,0.316760,20
benchmark/laut/kaluza/123/sink.vmt,1,0.033520,0
benchmark/laut/kaluza/636/sink.vmt,0,0.036208,1
benchmark/laut/kaluza/1557/sink.vmt,0,0.071580,1
benchmark/laut/kaluza/4/sink.vmt,1,0.119121,10
benchmark/laut/kaluza/744/sink.vmt,0,0.032895,1
benchmark/laut/kaluza/132/sink.vmt,1,0.033201,4
benchmark/laut/kaluza/914/sink.vmt,0,0.034788,1
benchmark/laut/kaluza/380/sink.vmt,1,0.037921,1
benchmark/laut/kaluza/1427/sink.vmt,1,0.269181,20
benchmark/laut/kaluza/1057/sink.vmt,0,0.036402,1
benchmark/laut/kaluza/1749/sink.vmt,1,0.074089,0
benchmark/laut/kaluza/1353/sink.vmt,0,0.032098,1
benchmark/laut/kaluza/866/sink.vmt,0,0.021364,1
benchmark/laut/kaluza/669/sink.vmt,0,0.034537,1
benchmark/laut/kaluza/1553/sink.vmt,1,0.037897,1
benchmark/laut/kaluza/1279/sink.vmt,0,0.033479,1
benchmark/laut/kaluza/1759/sink.vmt,0,0.069305,1
benchmark/laut/kaluza/603/sink.vmt,1,0.319270,11
benchmark/laut/kaluza/1728/sink.vmt,0,0.116202,4
benchmark/laut/kaluza/354/sink.vmt,1,0.016171,0
benchmark/laut/kaluza/1391/sink.vmt,0,0.022494,1
benchmark/laut/kaluza/582/sink.vmt,0,0.035471,1
benchmark/laut/kaluza/1272/sink.vmt,1,0.033041,1
benchmark/laut/kaluza/1879/sink.vmt,1,0.418477,11
benchmark/laut/kaluza/1186/sink.vmt,0,0.033649,1
benchmark/laut/kaluza/448/sink.vmt,1,0.216261,19
benchmark/laut/kaluza/722/sink.vmt,1,0.216467,19
benchmark/laut/kaluza/794/sink.vmt,0,0.017177,1
benchmark/laut/kaluza/881/sink.vmt,1,0.025099,1
benchmark/laut/kaluza/941/sink.vmt,1,0.276439,20
benchmark/laut/kaluza/86/sink.vmt,1,3.038119,88
benchmark/laut/kaluza/24/sink.vmt,0,0.037760,1
benchmark/laut/kaluza/630/sink.vmt,0,0.120047,1
benchmark/laut/kaluza/583/sink.vmt,0,0.033218,1
benchmark/laut/kaluza/1802/sink.vmt,0,0.068224,1
benchmark/laut/kaluza/706/sink.vmt,0,0.032888,1
benchmark/laut/kaluza/1670/sink.vmt,1,0.267210,19
benchmark/laut/kaluza/1861/sink.vmt,0,0.016657,1
benchmark/laut/kaluza/1767/sink.vmt,1,0.217084,19
benchmark/laut/kaluza/1015/sink.vmt,0,0.038679,1
benchmark/laut/kaluza/1063/sink.vmt,0,0.216007,13
benchmark/laut/kaluza/1633/sink.vmt,1,0.033863,1
benchmark/laut/kaluza/1548/sink.vmt,0,0.033692,1
benchmark/laut/kaluza/859/sink.vmt,1,0.222324,19
benchmark/laut/kaluza/856/sink.vmt,1,0.318108,20
benchmark/laut/kaluza/495/sink.vmt,0,0.032637,1
benchmark/laut/kaluza/206/sink.vmt,1,0.517393,6
benchmark/laut/kaluza/1312/sink.vmt,1,0.032993,1
benchmark/laut/kaluza/1772/sink.vmt,0,0.035667,1
benchmark/laut/kaluza/1921/sink.vmt,1,0.065906,1
benchmark/laut/kaluza/1209/sink.vmt,1,0.033366,1
benchmark/laut/kaluza/912/sink.vmt,0,0.039043,1
benchmark/laut/kaluza/956/sink.vmt,0,0.034719,1
benchmark/laut/kaluza/1584/sink.vmt,0,0.033682,1
benchmark/laut/kaluza/1846/sink.vmt,0,0.016119,1
