benchmark=kaluza,solver=s3p,TO=20.000000
path,sat,time
benchmark/laut/kaluza/343/sink.s3,0,0.034351
benchmark/laut/kaluza/703/sink.s3,0,0.034220
benchmark/laut/kaluza/503/sink.s3,1,0.036240
benchmark/laut/kaluza/1973/sink.s3,0,0.034907
benchmark/laut/kaluza/1297/sink.s3,0,0.032736
benchmark/laut/kaluza/280/sink.s3,0,0.169647
benchmark/laut/kaluza/1307/sink.s3,0,0.036032
benchmark/laut/kaluza/1766/sink.s3,0,0.035340
benchmark/laut/kaluza/1315/sink.s3,0,0.035796
benchmark/laut/kaluza/590/sink.s3,1,0.036542
benchmark/laut/kaluza/526/sink.s3,0,0.035329
benchmark/laut/kaluza/1786/sink.s3,1,0.036107
benchmark/laut/kaluza/788/sink.s3,1,0.067376
benchmark/laut/kaluza/1782/sink.s3,0,0.035303
benchmark/laut/kaluza/708/sink.s3,1,0.067187
benchmark/laut/kaluza/674/sink.s3,1,0.036004
benchmark/laut/kaluza/887/sink.s3,0,0.035592
benchmark/laut/kaluza/220/sink.s3,1,0.036891
benchmark/laut/kaluza/1227/sink.s3,0,0.034684
benchmark/laut/kaluza/1163/sink.s3,0,0.033935
benchmark/laut/kaluza/733/sink.s3,0,0.036487
benchmark/laut/kaluza/1448/sink.s3,0,0.034207
benchmark/laut/kaluza/164/sink.s3,1,0.038291
benchmark/laut/kaluza/829/sink.s3,0,0.036249
benchmark/laut/kaluza/253/sink.s3,1,0.267007
benchmark/laut/kaluza/1040/sink.s3,0,0.034405
benchmark/laut/kaluza/112/sink.s3,1,0.035421
benchmark/laut/kaluza/963/sink.s3,1,0.068960
benchmark/laut/kaluza/600/sink.s3,0,0.034982
benchmark/laut/kaluza/1683/sink.s3,1,0.871965
benchmark/laut/kaluza/939/sink.s3,1,0.067214
benchmark/laut/kaluza/1642/sink.s3,0,0.068070
benchmark/laut/kaluza/838/sink.s3,0,0.038921
benchmark/laut/kaluza/832/sink.s3,0,0.036121
benchmark/laut/kaluza/490/sink.s3,0,0.034562
benchmark/laut/kaluza/223/sink.s3,0,0.023232
benchmark/laut/kaluza/681/sink.s3,1,0.066603
benchmark/laut/kaluza/1935/sink.s3,1,0.036982
benchmark/laut/kaluza/415/sink.s3,1,0.065829
benchmark/laut/kaluza/477/sink.s3,1,0.034606
benchmark/laut/kaluza/764/sink.s3,1,0.035236
benchmark/laut/kaluza/1897/sink.s3,0,0.036136
benchmark/laut/kaluza/622/sink.s3,0,0.068353
benchmark/laut/kaluza/233/sink.s3,1,0.170887
benchmark/laut/kaluza/1018/sink.s3,1,0.034017
benchmark/laut/kaluza/418/sink.s3,1,0.033856
benchmark/laut/kaluza/1349/sink.s3,1,0.035032
benchmark/laut/kaluza/657/sink.s3,1,0.035130
benchmark/laut/kaluza/244/sink.s3,0,0.033851
benchmark/laut/kaluza/1972/sink.s3,0,0.067179
benchmark/laut/kaluza/1637/sink.s3,0,0.034343
benchmark/laut/kaluza/847/sink.s3,1,0.034299
