benchmark=kaluza,solver=ABC,TO=20.000000
path,sat,time
benchmark/laut/kaluza/515/sink.s3,0,0.329321
benchmark/laut/kaluza/1594/sink.s3,0,0.018431
benchmark/laut/kaluza/1188/sink.s3,0,0.118669
benchmark/laut/kaluza/1190/sink.s3,0,0.016239
benchmark/laut/kaluza/1056/sink.s3,1,0.116602
benchmark/laut/kaluza/1608/sink.s3,0,0.033122
benchmark/laut/kaluza/179/sink.s3,1,0.072736
benchmark/laut/kaluza/931/sink.s3,1,0.271389
benchmark/laut/kaluza/1189/sink.s3,0,0.037767
benchmark/laut/kaluza/1664/sink.s3,1,0.066010
benchmark/laut/kaluza/1923/sink.s3,1,0.070409
benchmark/laut/kaluza/1478/sink.s3,0,0.033703
benchmark/laut/kaluza/985/sink.s3,0,0.018007
benchmark/laut/kaluza/1694/sink.s3,0,0.018722
benchmark/laut/kaluza/628/sink.s3,1,0.217950
benchmark/laut/kaluza/375/sink.s3,1,0.066466
benchmark/laut/kaluza/407/sink.s3,0,0.033866
benchmark/laut/kaluza/16/sink.s3,1,0.065575
benchmark/laut/kaluza/1726/sink.s3,1,0.115264
benchmark/laut/kaluza/1556/sink.s3,0,0.064787
benchmark/laut/kaluza/1277/sink.s3,0,0.033070
benchmark/laut/kaluza/609/sink.s3,1,0.120499
benchmark/laut/kaluza/506/sink.s3,1,0.121246
benchmark/laut/kaluza/598/sink.s3,1,0.124566
benchmark/laut/kaluza/742/sink.s3,1,0.267388
benchmark/laut/kaluza/427/sink.s3,1,0.116619
benchmark/laut/kaluza/235/sink.s3,0,0.116052
benchmark/laut/kaluza/1663/sink.s3,1,0.117258
benchmark/laut/kaluza/756/sink.s3,1,0.220665
benchmark/laut/kaluza/238/sink.s3,1,0.035613
benchmark/laut/kaluza/833/sink.s3,1,0.067082
benchmark/laut/kaluza/1771/sink.s3,1,0.268337
benchmark/laut/kaluza/750/sink.s3,0,0.066155
benchmark/laut/kaluza/960/sink.s3,0,0.166560
benchmark/laut/kaluza/129/sink.s3,1,0.172789
benchmark/laut/kaluza/980/sink.s3,1,0.270481
benchmark/laut/kaluza/1559/sink.s3,0,0.069052
benchmark/laut/kaluza/1974/sink.s3,1,0.065950
benchmark/laut/kaluza/273/sink.s3,1,0.034549
benchmark/laut/kaluza/1054/sink.s3,0,0.174795
benchmark/laut/kaluza/278/sink.s3,1,0.067703
benchmark/laut/kaluza/549/sink.s3,0,0.065295
benchmark/laut/kaluza/1716/sink.s3,1,0.269767
benchmark/laut/kaluza/619/sink.s3,0,0.033539
benchmark/laut/kaluza/242/sink.s3,1,0.034940
benchmark/laut/kaluza/995/sink.s3,0,0.065485
benchmark/laut/kaluza/85/sink.s3,1,0.066249
benchmark/laut/kaluza/122/sink.s3,0,0.168752
benchmark/laut/kaluza/757/sink.s3,1,0.273427
benchmark/laut/kaluza/1667/sink.s3,0,0.877766
benchmark/laut/kaluza/1995/sink.s3,1,0.270383
benchmark/laut/kaluza/1810/sink.s3,1,0.116149
benchmark/laut/kaluza/1406/sink.s3,1,0.329100
benchmark/laut/kaluza/125/sink.s3,1,0.175307
benchmark/laut/kaluza/343/sink.s3,0,0.072123
benchmark/laut/kaluza/703/sink.s3,0,0.033239
benchmark/laut/kaluza/503/sink.s3,1,0.270248
benchmark/laut/kaluza/1973/sink.s3,0,0.066272
benchmark/laut/kaluza/1297/sink.s3,0,0.032720
benchmark/laut/kaluza/280/sink.s3,0,0.217539
benchmark/laut/kaluza/1307/sink.s3,0,0.066130
benchmark/laut/kaluza/1766/sink.s3,0,0.034031
benchmark/laut/kaluza/1315/sink.s3,0,0.074111
benchmark/laut/kaluza/590/sink.s3,1,0.270864
benchmark/laut/kaluza/526/sink.s3,0,0.165679
benchmark/laut/kaluza/1786/sink.s3,1,0.065261
benchmark/laut/kaluza/788/sink.s3,1,0.171038
benchmark/laut/kaluza/1782/sink.s3,0,0.173051
benchmark/laut/kaluza/708/sink.s3,1,0.117589
