benchmark=kaluza,solver=z3,TO=20.000000
path,sat,time
benchmark/laut/kaluza/777/sink.smt2,0,0.017453
benchmark/laut/kaluza/267/sink.smt2,1,0.019923
benchmark/laut/kaluza/1308/sink.smt2,0,0.018003
benchmark/laut/kaluza/137/sink.smt2,1,0.016552
benchmark/laut/kaluza/548/sink.smt2,0,0.019162
benchmark/laut/kaluza/1408/sink.smt2,0,0.037072
benchmark/laut/kaluza/1300/sink.smt2,1,0.033212
benchmark/laut/kaluza/586/sink.smt2,0,0.037127
benchmark/laut/kaluza/523/sink.smt2,1,0.038306
benchmark/laut/kaluza/1232/sink.smt2,0,0.036767
benchmark/laut/kaluza/1926/sink.smt2,0,0.024808
benchmark/laut/kaluza/962/sink.smt2,1,0.036542
benchmark/laut/kaluza/1859/sink.smt2,1,0.033964
benchmark/laut/kaluza/974/sink.smt2,0,0.041651
benchmark/laut/kaluza/1464/sink.smt2,0,0.018807
benchmark/laut/kaluza/922/sink.smt2,0,0.018551
benchmark/laut/kaluza/1167/sink.smt2,1,0.017692
benchmark/laut/kaluza/1476/sink.smt2,1,0.017956
benchmark/laut/kaluza/419/sink.smt2,1,0.019262
benchmark/laut/kaluza/1643/sink.smt2,0,0.034411
benchmark/laut/kaluza/1469/sink.smt2,0,0.018630
benchmark/laut/kaluza/5/sink.smt2,0,0.018534
benchmark/laut/kaluza/351/sink.smt2,0,0.018857
benchmark/laut/kaluza/462/sink.smt2,1,0.034172
benchmark/laut/kaluza/349/sink.smt2,1,0.038600
benchmark/laut/kaluza/540/sink.smt2,1,0.019276
benchmark/laut/kaluza/123/sink.smt2,1,0.018445
benchmark/laut/kaluza/636/sink.smt2,0,0.038139
benchmark/laut/kaluza/1557/sink.smt2,0,0.037867
benchmark/laut/kaluza/4/sink.smt2,1,0.037135
benchmark/laut/kaluza/744/sink.smt2,0,0.023360
benchmark/laut/kaluza/132/sink.smt2,1,0.019054
benchmark/laut/kaluza/914/sink.smt2,0,0.017766
benchmark/laut/kaluza/380/sink.smt2,1,0.020964
benchmark/laut/kaluza/1427/sink.smt2,1,0.019390
benchmark/laut/kaluza/1057/sink.smt2,0,0.019769
benchmark/laut/kaluza/1749/sink.smt2,1,0.039345
benchmark/laut/kaluza/1353/sink.smt2,0,0.024429
benchmark/laut/kaluza/866/sink.smt2,0,0.017895
benchmark/laut/kaluza/669/sink.smt2,0,0.017370
benchmark/laut/kaluza/1553/sink.smt2,1,0.019306
benchmark/laut/kaluza/1279/sink.smt2,0,0.018333
benchmark/laut/kaluza/1759/sink.smt2,0,0.018096
benchmark/laut/kaluza/603/sink.smt2,1,0.034269
benchmark/laut/kaluza/1728/sink.smt2,0,0.040481
benchmark/laut/kaluza/354/sink.smt2,1,0.042081
benchmark/laut/kaluza/1391/sink.smt2,0,0.019230
benchmark/laut/kaluza/582/sink.smt2,0,0.016399
benchmark/laut/kaluza/1272/sink.smt2,1,0.017085
benchmark/laut/kaluza/1879/sink.smt2,1,0.034200
benchmark/laut/kaluza/1186/sink.smt2,0,0.017373
benchmark/laut/kaluza/448/sink.smt2,1,0.018521
benchmark/laut/kaluza/722/sink.smt2,1,0.032553
benchmark/laut/kaluza/794/sink.smt2,0,0.019370
benchmark/laut/kaluza/881/sink.smt2,1,0.020877
benchmark/laut/kaluza/941/sink.smt2,1,0.019017
benchmark/laut/kaluza/86/sink.smt2,1,0.075047
benchmark/laut/kaluza/24/sink.smt2,0,0.033786
benchmark/laut/kaluza/630/sink.smt2,0,0.017145
benchmark/laut/kaluza/583/sink.smt2,0,0.024042
benchmark/laut/kaluza/1802/sink.smt2,0,0.018438
benchmark/laut/kaluza/706/sink.smt2,0,0.038470
benchmark/laut/kaluza/1670/sink.smt2,1,0.036565
benchmark/laut/kaluza/1861/sink.smt2,0,0.023281
benchmark/laut/kaluza/1767/sink.smt2,1,0.021679
benchmark/laut/kaluza/1015/sink.smt2,0,0.019233
benchmark/laut/kaluza/1063/sink.smt2,0,0.018640
benchmark/laut/kaluza/1633/sink.smt2,1,0.037482
benchmark/laut/kaluza/1548/sink.smt2,0,0.034091
benchmark/laut/kaluza/859/sink.smt2,1,0.036689
benchmark/laut/kaluza/856/sink.smt2,1,0.037091
benchmark/laut/kaluza/495/sink.smt2,0,0.017144
benchmark/laut/kaluza/206/sink.smt2,1,0.035296
benchmark/laut/kaluza/1312/sink.smt2,1,0.034144
benchmark/laut/kaluza/1772/sink.smt2,0,0.017282
benchmark/laut/kaluza/1921/sink.smt2,1,0.017327
benchmark/laut/kaluza/1209/sink.smt2,1,0.019124
benchmark/laut/kaluza/912/sink.smt2,0,0.038277
benchmark/laut/kaluza/956/sink.smt2,0,0.021889
benchmark/laut/kaluza/1584/sink.smt2,0,0.018802
benchmark/laut/kaluza/1846/sink.smt2,0,0.017232
benchmark/laut/kaluza/1696/sink.smt2,1,0.034842
benchmark/laut/kaluza/474/sink.smt2,1,0.023422
benchmark/laut/kaluza/140/sink.smt2,0,0.034848
benchmark/laut/kaluza/1490/sink.smt2,1,0.043556
benchmark/laut/kaluza/1486/sink.smt2,0,0.019771
benchmark/laut/kaluza/1682/sink.smt2,0,0.025616
benchmark/laut/kaluza/1367/sink.smt2,1,0.034893
benchmark/laut/kaluza/439/sink.smt2,0,0.037523
benchmark/laut/kaluza/918/sink.smt2,0,0.036321
benchmark/laut/kaluza/50/sink.smt2,0,0.037770
benchmark/laut/kaluza/1198/sink.smt2,0,0.017227
benchmark/laut/kaluza/519/sink.smt2,0,0.018106
benchmark/laut/kaluza/758/sink.smt2,1,0.037781
benchmark/laut/kaluza/90/sink.smt2,1,0.019257
benchmark/laut/kaluza/312/sink.smt2,0,0.021098
benchmark/laut/kaluza/1589/sink.smt2,0,0.018117
benchmark/laut/kaluza/1785/sink.smt2,0,0.019460
benchmark/laut/kaluza/1998/sink.smt2,0,0.016498
benchmark/laut/kaluza/1396/sink.smt2,1,0.017679
benchmark/laut/kaluza/1703/sink.smt2,1,0.020207
benchmark/laut/kaluza/1522/sink.smt2,0,0.019005
benchmark/laut/kaluza/970/sink.smt2,0,0.041871
benchmark/laut/kaluza/1375/sink.smt2,1,0.033035
benchmark/laut/kaluza/1176/sink.smt2,0,0.033350
benchmark/laut/kaluza/1064/sink.smt2,1,0.033506
benchmark/laut/kaluza/171/sink.smt2,1,0.034351
benchmark/laut/kaluza/1763/sink.smt2,0,0.016951
benchmark/laut/kaluza/1083/sink.smt2,0,0.017316
benchmark/laut/kaluza/1797/sink.smt2,0,0.017451
benchmark/laut/kaluza/1078/sink.smt2,1,0.034014
